chicken_name,feather_color,sex,region,start,end,picture,death_cause
Mary,white,Hen,1,2022/3/26,present,🐓,
charlotte,white,Hen,1,2022/3/26,2024/1/27,🐓,by fox
buttercup,white,Hen,1,2022/3/26,2022/10/8,🐓,by us
unnamed,white,Hen,1,2022/3/26,2022/5/1,🐓,by unknown animal
unnamed,white,Hen,1,2022/3/26,2022/5/1,🐓,by unknown animal
onyx,black,Hen,1,2022/3/26,2022/9,🐓,by us
obsidian,black,Hen,1,2022/3/26,2022/9/30,🐓,by fox
olivia,black,Hen,1,2022/3/26,2023/3,🐓,
octavia,black,Hen,1,2022/3/26,2023/9,🐓,
unnamed,black,Hen,1,2022/3/26,2022/5/1,🐓,by unknown animal
callie,red,Rooster,1,2022/3/26,2022/5/1,🐔,by unknown animal
bulbus,red,Hen,1,2022/3/26,2022/6/2,🐓,by fox
Puffin,black,Hen,2,2022/6/24,2022/10/5,🐓,by unknown animal
Penguin,black,Hen,2,2022/6/24,2022/10/5,🐓,
Penny,black,Hen,2,2022/6/24,2022/10/5,🐓,
Amber,red,Hen,2,2022/6/24,2022/11/5,🐓,
Sherbert,red,Hen,2,2022/6/24,2022/11/5,🐓,
Orange,red,Hen,2,2022/6/24,2024/3/12,🐓,by hawk
Hazel,mixed,Hen,2,2022/6/24,2022/11/5,🐓,by owl
Goldie,mixed,Hen,2,2022/6/24,2022/10/5,🐓,by unknown animal
boots,white,Rooster,3,2023/6/20,present,🐔,
Milky,white,Hen,3,2023/6/20,present,🐓,
nugget,red,Hen,3,2023/6/20,2024/5/30,🐓,by unknown animal
raven,black,Hen,3,2023/6/20,present,🐓,
onyx jr.,black,Hen,4,2023/8/31,present,🐓,
obsidian jr.,black,Hen,4,2023/8/31,present,🐓,
olivia jr.,black,Hen,4,2023/8/31,present,🐓,
octavia jr.,black,Hen,4,2023/8/31,present,🐓,
Mogul,black,Hen,4,2023/8/31,2024/3/19,🐓,by Sara's dog Mogul
unnamed,black,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,black,Hen,4,2023/8/31,2023/10/19,🐓,
unnamed,black,Hen,4,2023/8/31,2023/10/19,🐓,
unnamed,finch,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,finch,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,finch,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,finch,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,finch,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,finch,Hen,4,2023/8/31,2023/9/10,🐓,
unnamed,finch,Hen,4,2023/8/31,2014/1/1,🐓,
unnamed,finch,Hen,4,2023/8/31,2014/3/1,🐓,
sherbert jr.,red,Hen,5,2023/11/10,present,🐓,
orange jr.,red,Hen,5,2023/11/10,present,🐓,
unnamed,red,Hen,5,2023/11/10,2023/11/24,🐓,to Zhao
unnamed,red,Hen,5,2023/11/10,2023/11/30,🐓,by hawk
unnamed,red,Hen,5,2023/11/10,2024/3/12,🐓,by hawk
